instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[2, 3, 5]",BackTracking,1.7416896298527718e-05
0,10,"[1, 2, 3, 4]",BackTracking,1.7416896298527718e-05
0,10,"[1, 2, 7]",BackTracking,1.7416896298527718e-05
0,10,"[2, 8]",BackTracking,1.7416896298527718e-05
0,10,"[1, 4, 5]",BackTracking,1.7416896298527718e-05
0,10,"[4, 6]",BackTracking,1.7416896298527718e-05
0,10,"[3, 7]",BackTracking,1.7416896298527718e-05
0,10,"[1, 3, 6]",BackTracking,1.7416896298527718e-05
1,10,"[2, 3, 5]",BackTracking,1.3124896213412285e-05
1,10,"[1, 2, 3, 4]",BackTracking,1.3124896213412285e-05
1,10,"[1, 2, 7]",BackTracking,1.3124896213412285e-05
1,10,"[2, 8]",BackTracking,1.3124896213412285e-05
1,10,"[1, 4, 5]",BackTracking,1.3124896213412285e-05
1,10,"[4, 6]",BackTracking,1.3124896213412285e-05
1,10,"[3, 7]",BackTracking,1.3124896213412285e-05
1,10,"[1, 3, 6]",BackTracking,1.3124896213412285e-05
