instance_id,num_vertices,num_edges,algorithm,run,time_seconds
1,6,10,BruteForce,1,9.750001481734216e-06
1,6,10,BruteForce,2,5.08299854118377e-06
1,6,10,BruteForce,3,3.749999450519681e-06
1,6,10,BruteForce,4,3.1670024327468127e-06
1,6,10,BruteForce,5,3.083001502091065e-06
1,6,10,BruteForce,6,2.959000994451344e-06
1,6,10,BruteForce,7,2.91700052912347e-06
1,6,10,BruteForce,8,2.958000550279394e-06
1,6,10,BruteForce,9,3.0000010156072676e-06
1,6,10,BruteForce,10,3.0410010367631912e-06
1,6,10,Backtracking,1,6.87500141793862e-06
1,6,10,Backtracking,2,4.708999767899513e-06
1,6,10,Backtracking,3,3.6249984987080097e-06
1,6,10,Backtracking,4,2.791999577311799e-06
1,6,10,Backtracking,5,2.7909991331398487e-06
1,6,10,Backtracking,6,2.7079986466560513e-06
1,6,10,Backtracking,7,6.708000000799075e-06
1,6,10,Backtracking,8,0.00012808300016331486
1,6,10,Backtracking,9,2.749999111983925e-06
1,6,10,Backtracking,10,2.5840017769951373e-06
2,6,8,BruteForce,1,7.766699854983017e-05
2,6,8,BruteForce,2,7.60830007493496e-05
2,6,8,BruteForce,3,7.625000216648914e-05
2,6,8,BruteForce,4,7.545799962827004e-05
2,6,8,BruteForce,5,7.587499931105413e-05
2,6,8,BruteForce,6,7.574999835924245e-05
2,6,8,BruteForce,7,7.570799789391458e-05
2,6,8,BruteForce,8,7.570799789391458e-05
2,6,8,BruteForce,9,7.62919989938382e-05
2,6,8,BruteForce,10,7.541599916294217e-05
2,6,8,Backtracking,1,3.474999903119169e-05
2,6,8,Backtracking,2,2.941699858638458e-05
2,6,8,Backtracking,3,2.8040998586220667e-05
2,6,8,Backtracking,4,2.8959002520423383e-05
2,6,8,Backtracking,5,3.0042003345442936e-05
2,6,8,Backtracking,6,2.8624999686144292e-05
2,6,8,Backtracking,7,2.8416998247848824e-05
2,6,8,Backtracking,8,2.8375001420499757e-05
2,6,8,Backtracking,9,2.8500002372311428e-05
2,6,8,Backtracking,10,2.829200093401596e-05
3,6,8,BruteForce,1,8.479199823341332e-05
3,6,8,BruteForce,2,8.316699677379802e-05
3,6,8,BruteForce,3,8.312499994644895e-05
3,6,8,BruteForce,4,8.316700041177683e-05
3,6,8,BruteForce,5,8.333400182891637e-05
3,6,8,BruteForce,6,8.283399802166969e-05
3,6,8,BruteForce,7,8.370800060220063e-05
3,6,8,BruteForce,8,8.316599996760488e-05
3,6,8,BruteForce,9,8.349999916390516e-05
3,6,8,BruteForce,10,8.316600360558368e-05
3,6,8,Backtracking,1,3.9165999623946846e-05
3,6,8,Backtracking,2,3.983300121035427e-05
3,6,8,Backtracking,3,3.445800030021928e-05
3,6,8,Backtracking,4,3.387499964446761e-05
3,6,8,Backtracking,5,3.383299917913973e-05
3,6,8,Backtracking,6,3.5207998735131696e-05
3,6,8,Backtracking,7,3.445800030021928e-05
3,6,8,Backtracking,8,3.504100095597096e-05
3,6,8,Backtracking,9,3.870900036417879e-05
3,6,8,Backtracking,10,3.5291999665787444e-05
