Instance_ID,Num_Vertices,Num_Edges,Hamiltonian_Path,Hamiltonian_Cycle,Largest_Cycle_Size,Algorithm,Time
1,6,10,"[1, 2, 5, 3, 4, 6]","[1, 2, 5, 3, 4, 6, 1]",6,BruteForce,0.000026
2,6,8,"[1, 6, 3, 4, 2, 5]",None,6,BruteForce,0.000056
3,6,8,"[2, 4, 6, 3, 1, 5]",None,6,BruteForce,0.000098
4,4,4,"[1, 2, 3, 4]","[1, 2, 3, 4, 1]",4,BruteForce,0.000006
5,5,10,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5, 1]",5,BruteForce,0.000006
6,7,12,"[1, 2, 3, 4, 5, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 1]",7,BruteForce,0.000007
7,8,16,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 1]",8,BruteForce,0.000008
8,4,3,None,None,0,BruteForce,0.000014
9,6,9,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6, 1]",6,BruteForce,0.000006
10,10,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1]",10,BruteForce,0.000009
