instance,num_items,bin_capacity,num_solutions,time_sec
0,3,8,1,8.292030543088913e-06
1,8,10,8,1.2666918337345123e-05
2,7,8,6,6.416114047169685e-06
3,6,15,4,4.834029823541641e-06
4,4,15,0,3.5420525819063187e-06
5,3,20,1,2.125045284628868e-06
6,5,8,3,3.708992153406143e-06
7,4,10,2,2.834014594554901e-06
8,5,12,2,5.292007699608803e-06
9,5,15,0,4.00003045797348e-06
10,10,20,31,6.120814941823483e-05
11,7,25,4,1.2459000572562218e-05
12,7,30,3,1.1625001206994057e-05
13,9,35,9,2.89171002805233e-05
14,15,40,401,0.0012360839173197746
15,13,50,20,0.00012183305807411671
16,9,60,6,4.850002005696297e-05
17,6,18,1,5.875015631318092e-06
18,7,22,1,7.790978997945786e-06
19,8,24,4,1.158309169113636e-05
20,9,26,7,1.7666025087237358e-05
21,8,28,4,9.95793379843235e-06
22,9,30,9,1.2499978765845299e-05
23,10,32,15,4.579196684062481e-05
24,11,35,0,3.0375085771083832e-05
25,10,36,5,2.3707980290055275e-05
26,9,40,5,1.1582858860492706e-05
27,10,42,10,2.5750137865543365e-05
28,10,45,0,1.3875076547265053e-05
29,11,48,10,2.8084032237529755e-05
30,12,50,9,2.9416056349873543e-05
31,10,55,11,1.6750069335103035e-05
32,14,60,31,6.441702134907246e-05
33,12,65,7,4.129204899072647e-05
34,13,70,0,3.816699609160423e-05
35,7,75,0,1.6290927305817604e-05
36,13,80,2,5.483301356434822e-05
37,15,90,2,7.637497037649155e-05
38,16,100,33,7.570814341306686e-05
39,17,120,34,8.450006134808064e-05
40,14,130,30,0.00010016700252890587
41,14,140,44,0.00010100007057189941
42,14,150,30,0.00012766709551215172
43,14,160,44,0.00010404083877801895
44,14,170,24,0.00010720896534621716
45,14,180,44,0.00011041690595448017
46,14,190,30,0.0001050001010298729
47,14,200,44,0.00010841595940291882
48,14,210,30,0.00010908301919698715
49,14,220,44,0.00010879198089241982
50,14,230,30,0.00010745786130428314
51,14,240,44,0.00010829092934727669
52,14,250,30,0.00011154101230204105
53,14,260,44,0.00010754098184406757
54,14,270,30,0.00010608416050672531
55,14,280,44,0.00010875007137656212
56,14,290,30,0.0001385000068694353
57,14,300,44,0.00011116685345768929
58,14,310,30,0.00011158292181789875
59,14,320,44,0.00012820796109735966
60,14,330,24,0.0001230419147759676
61,14,340,44,0.00011758296750485897
62,14,350,30,0.00011245813220739365
63,14,360,44,0.00011379201896488667
64,14,370,30,0.00011575012467801571
65,14,380,44,0.00011679180897772312
66,14,390,30,0.00011241692118346691
67,14,400,44,0.0001147089060395956
68,14,410,30,0.00011512497439980507
69,14,420,44,0.00023083295673131943
70,16,430,30,0.00017145811580121517
71,15,440,44,0.00014408398419618607
72,17,450,30,0.00025795819237828255
73,22,460,153,0.0022429171949625015
74,19,470,38,0.0008158748969435692
75,19,480,70,0.0009152090642601252
76,17,490,45,0.0003389590419828892
77,19,500,70,0.0008711661212146282
78,21,510,74,0.0016666250303387642
79,23,520,134,0.004245749907568097
